"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000ce08fa224696a819877070bf378e8b131acf","2.72","No"
"0x0008d343091ef8bd3efa730f6aae5a26a285c7a2","0.01","No"
"0x02ee663daf3bd6ab80be2e8b0f54abc8721b7d68","0.38","No"
"0x0338f6ba5e73b4755b58abab4b8ab5348fd3a580","258.55","No"
"0x03f4b156e8c077219a69a4ec63faca4b449b7723","2063.462","No"
"0x040325b8bbaf8e894d4dc34b28415cd48c34cb83","1900","No"
"0x04acfe26052bba64c0fb838ffc981011a762e3e1","408.574","No"
"0x0592bd5087b41452eaf07c52d96a16a9dce9db7e","68.47","No"
"0x068bab172fa62635dfb3cabcf330edbf63522ce4","2227.512","No"
"0x0727e6fdb52e5465338f508745188fed77b6c616","398.894","No"
"0x075e2d27242e8a9d5ed15901a9de7a0ec346ca01","16.8","No"
"0x078bb47c16d84997805b847374f0456649bd2888","404.12","No"
"0x080b24e07509d036ed2ef096d6885946abbca380","941.282","No"
"0x08848aab86be3e92284a77184420eb2460b985ff","258.14","No"
"0x0b46e3b8bea666214776effbe2534d120c2c81a3","199.16","No"
"0x0c274631545911caf8e709917c571e69eda2e6ee","2032.1","No"
"0x0c732f4bba141e72d15b9718dd82affdcf34d5dc","382.49","No"
"0x0f7e3f3946c0e9e2f426c1f9c427b9b95aa2b174","8.96","No"
"0x0fbba01a90651f0615673cc96feee3e75956a829","1071.78","No"
"0x10f53b57c6a6f07c9d9684e774cd77a4d29ceb3a","0.01","No"
"0x1183b3e07d211acc93cb2c44c8d52d461f4583e8","1.1","No"
"0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb","0.0042875","No"
"0x1307765438102a4ef6d4c1f4cfda3cb03ca0046e","408.11","No"
"0x149abfd0ce0645cc5fb3a853d04a19e4682d8262","84","No"
"0x14cce53c8338283674dd5908fefe0e6f6eb43709","100.884","No"
"0x158e61a181959844d6ac426a2a50eec065b3a943","0.61","No"
"0x169a4ccbe1c781b85f82db0b07cf2052a2ef6721","24.36","No"
"0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b","0.56","No"
"0x18d35a35a90eecec8fa666305f39a6f1e4cf88f6","108.162","No"
"0x1a0bde1ee2da15089ed10b13cf8552c300e47a96","402.734","No"
"0x1a8a7ae2508a2623789772e6eeaa084ac406d85f","0.06","No"
"0x1b8eed842ed6eba112c020f71f08bfb7eef0ac4d","277.44","No"
"0x1cdf6517a35162461dcad6679cd2fbf011f53970","400.43","No"
"0x203bbd0b6e178517b030de75dd2bd0d83d7042f8","255.814","No"
"0x203c30d71994f1e3ed0eaab7bb0e0c4c09abd24d","370.094","No"
"0x2096bcc0012a0f3be1775365bb467a8ab0e3e4ce","113.174","No"
"0x211dc4b8f6297db374f891c754af93691c74038d","0.4957125","No"
"0x21ceaff6a6b6ebccbf3a21ada499789d34e09b40","439.82","No"
"0x22073b4cad965435ef08a038f715d27e11ad4caf","429.36","No"
"0x23aa8e1543f7f8433a3656f38d809769826702b5","618.436","No"
"0x247e4f602aa931a4b3ff4e2a780e19bea03caa08","7.68","No"
"0x24abc16556009f1455185818b3ce72f053f24273","1.89","No"
"0x25ad2667b19e866109c1a93102b816730a6aec3f","0.01","No"
"0x2a6cf793def960db8e0cef2dd4d8143bf9ce0bbd","5.044","No"
"0x2a77a4c4dca956dba621bec41829daccede5b49d","402.534","No"
"0x2b1eb5d1fb443d872e7ca3a82e295bc8080cd403","0.092","No"
"0x2be8ef5142e0f5953d96d20659e3dc504c42a1e4","447.032","No"
"0x2fad240b94ba13b22c6f6b32e428d762c5aecb7d","393.134","No"
"0x306f280819c5dd59b59b904ea020eaa2f3354514","400.814","No"
"0x35a1c9b1ed12332be6b1ad5f232c6071acff2185","698.78","No"
"0x36971221eabefb17bef4259119841f3c84216d84","0.41","No"
"0x379cb38c309d154423d79682143e1b1c01661ac4","864.2359","No"
"0x3bd0e07c750cb0f7c7d6567d69949158a15ad812","76.048","No"
"0x3d62966f028a61ec3784f3f1049ac0b2af6df4d1","0.19","No"
"0x3d8340536d24af89d42e716d87f007e34c8b8243","572.3","No"
"0x3dec42c1644f614b8c6f16c78c04a08207826e37","0.85","No"
"0x40d6145cba1f929b82c9a20a9d36ae2481371de4","106.112","No"
"0x420a2548c167fda0678f0a55ab776b66b7eb564a","964.43","No"
"0x43382b43dbd34f19846ca9cfce6ee0cba4a853c2","7.68","No"
"0x435db6580357d53f7e4acd1eb33d5857ed382500","63.848","No"
"0x470faf7c48203276ecd3ff1f3c43894f66288574","694.39","No"
"0x47311fcd99cfb2f0764054b2546cbe0467d98fd2","1307.68","No"
"0x478c8e7947b4226f0a235e8dc162aa2bded67e43","0.01","No"
"0x481a58b9385868267ff39ab285d22234b50871ed","1295.97","No"
"0x4986054c9e61c3aa21e714e5d33df04d97c899d4","13.3","No"
"0x49d6f19f2a9d2f5a139872c10196f9c7b92522a4","412.414","No"
"0x49e07e10c25b3f05d3b495cf4ebd9bafffc677cb","550.92","No"
"0x4b49bc013de47b01abaa03f531240643ce1bb762","91.422","No"
"0x4cd651c5a6213cc6f76e7c7f8c5ff476b48fc3eb","712.56","No"
"0x4dc84bfd85b4c6645f7e4eb86c615ce8a7290fa7","2880.81","No"
"0x4e5028805dc865766194fadd00c101a49bffa16f","1.03","No"
"0x4ff17fe136e936b0201fba097f4c7a0f606ba770","681.192","No"
"0x5072bef5234c74cebf7f0de14e77730b378e7391","0.35","No"
"0x51093afab7e92175b8bc25321ae594ce19a0e44c","416.254","No"
"0x527947bb0555cb7d855f4f20e6c58d251c0b333d","408.574","No"
"0x54b635c15e32a32d6ebe34fd7167efad1fd0896a","170.8","No"
"0x56849a9097208325ff9ea7e4dd799b649be0efba","0.16","No"
"0x592c8c62fdb6857a3eaa5156796cb37d2f5c8bbe","477.956","No"
"0x598e01ad0a19b58f44c7088abc9e2b7d6bc54424","28.68","No"
"0x5afeba13ff70fb403b9ec725e4c132b53814bd15","408.574","No"
"0x5c3968ffded22c0f934479fe2a5db43a1e3b506b","5.28","No"
"0x5cf3d32916da6bebec3e4c476103b768fc0a04ac","529.65","No"
"0x5d3fb8e8b3c261ee9f602eb19f430785f4332d84","212.4","No"
"0x5d737f1fc670310906d4b4aa5aba7cf3f1e4dab9","398.51","No"
"0x5e678bf568e031ae3cde87d6bfdd9ec3e9adabdc","9.302","No"
"0x5e6b346b7a9112a83a063685b9b82b29afeb5625","0.008","No"
"0x5e878c5d016c123856ecfaed7fa9625b39ff7c3c","1402.95","No"
"0x60826e7d0eca970845391f1e8db8b16b46c6cfdc","1382.24","No"
"0x6345b37c9958c412d55e9698d3ef316f8109af83","398.894","No"
"0x654dd1ec75ce660899383f627882c7f3dfa8ffd0","1055.322","No"
"0x66686477d5ba3e108ba57b23e52d24eac4172572","3474.04","No"
"0x66ee7e79b7f85c3e62894a99000a33dafda2f236","442.9","No"
"0x67ec1f776c75cbbab5fa811560e8426e44f4815f","400.814","No"
"0x6806cc49f77ccd0a9715c4f0f7977e2a31aaa42e","825.92","No"
"0x68a0770b7588f57e96ce0a6c672fa7d11992a17f","429.694","No"
"0x6918dfdb4abe781c61bcd4e486507cd223f42291","1.14","No"
"0x6ab94673e541bdb996bf37ba3977bf635cd82060","410.414","No"
"0x6cbf2e4a28fac4028967b0ca4017762cc7583ac7","6.99","No"
